date,pitcher,line,over_price,under_price,game,game_pk,role,expected_innings,bullpen_game,pitching_plan_reported,books,k_rate_season,recent_form_starts,recent_form_bf,bf_per_ip,recent_form_k_rate,recent_form_weight,opp_k_source,opp_lineup_k,opp_lineup_k_weighted,opp_lineup_k_resolved,opp_team_season_k,league_lineup_k,whiff_leverage,actual_k,ou_result,lean,lean_result,projection_raw,calibration_band,k_rate_used,opp_k_adjustment,calibration_bias,error_raw,abs_error_raw,error_corrected,abs_error_corrected,projection
8/6/2026,Miles Mikolas,2.5,-164,140,,,,,,,,,,,,,,,,,,,,,1,U,-0.14,,2.03,<6,,,,-1.03,1.03,-1.36,1.36,2.36
8/6/2026,Ranger Suarez,5.5,-138,125,,,,,,,,,,,,,,,,,,,,,3,U,2.19,L,7.69,>=7,,,,-4.69,4.69,-4.69,4.69,7.69
8/6/2026,Luis Castillo,4.5,132,-167,,,,,,,,,,,,,,,,,,,,,5,O,-0.87,L,3.3,<6,,,,1.7,1.7,1.37,1.37,3.63
8/6/2026,Janson Junk,3.5,-111,-105,,,,,,,,,,,,,,,,,,,,,1,U,0.92,L,4.09,<6,,,,-3.09,3.09,-3.42,3.42,4.42
8/6/2026,Bailey Ober,3.5,-113,101,,,,,,,,,,,,,,,,,,,,,0,U,0.1,,3.27,<6,,,,-3.27,3.27,-3.6,3.6,3.6
8/6/2026,Michael Wacha,4.5,-125,105,,,,,,,,,,,,,,,,,,,,,1,U,0.8,L,4.97,<6,,,,-3.97,3.97,-4.3,4.3,5.3
8/6/2026,Walker Buehler,3.5,-115,100,,,,,,,,,,,,,,,,,,,,,3,U,-0.28,,2.89,<6,,,,0.11,0.11,-0.22,0.22,3.22
8/7/2026,Carmen Mlodzinski,3.5,139,-164,,,,,,,,,,,,,,,,,,,,,1,U,0.37,,3.87,<6,,,,-2.87,2.87,-2.87,2.87,3.87
8/7/2026,Payton Tolle,6.5,-132,110,,,,,,,,,,,,,,,,,,,,,14,O,1,W,7.5,>=7,,,,6.5,6.5,6.5,6.5,7.5
8/7/2026,Jack Perkins,4.5,-113,102,,,,,,,,,,,,,,,,,,,,,3,U,-0.2,,4.3,<6,,,,-1.3,1.3,-1.3,1.3,4.3
8/7/2026,Tyler Phillips,3.5,-145,123,,,,,,,,,,,,,,,,,,,,,4,O,-0.12,,3.38,<6,,,,0.62,0.62,0.62,0.62,3.38
8/7/2026,Zack Wheeler,6.5,121,-149,,,,,,,,,,,,,,,,,,,,,6,U,-0.56,,5.94,<6,,,,0.06,0.06,0.06,0.06,5.94
8/7/2026,Cade Cavalli,6.5,118,-143,,,,,,,,,,,,,,,,,,,,,8,O,1.58,W,8.08,>=7,,,,-0.08,0.08,-0.08,0.08,8.08
8/7/2026,Tyler Mahle,5.5,106,-124,,,,,,,,,,,,,,,,,,,,,9,O,0.23,,5.73,<6,,,,3.27,3.27,3.27,3.27,5.73
8/7/2026,Max Fried,5.5,125,-150,,,,,,,,,,,,,,,,,,,,,7,O,1.38,W,6.88,6-7,,,,0.12,0.12,0.12,0.12,6.88
8/7/2026,Noah Schultz,3.5,-129,110,,,,,,,,,,,,,,,,,,,,,1,U,-0.28,,3.22,<6,,,,-2.22,2.22,-2.22,2.22,3.22
8/7/2026,Parker Messick,5.5,-150,127,,,,,,,,,,,,,,,,,,,,,8,O,0.62,,6.12,6-7,,,,1.88,1.88,1.88,1.88,6.12
8/7/2026,Zebby Matthews,4.5,-130,113,,,,,,,,,,,,,,,,,,,,,4,U,0.68,,5.18,<6,,,,-1.18,1.18,-1.18,1.18,5.18
8/7/2026,Shane Drohan,5.5,110,-132,,,,,,,,,,,,,,,,,,,,,4,U,-1,W,4.5,<6,,,,-0.5,0.5,-0.5,0.5,4.5
8/7/2026,Kevin Gausman,5.5,122,-142,,,,,,,,,,,,,,,,,,,,,4,U,-0.77,W,4.73,<6,,,,-0.73,0.73,-0.73,0.73,4.73
8/7/2026,Daniel Lynch IV,1.5,-124,-103,,,,,,,,,,,,,,,,,,,,,2,O,1.81,W,3.31,<6,,,,-1.31,1.31,-1.31,1.31,3.31
8/7/2026,Nathan Eovaldi,7.5,112,-127,,,,,,,,,,,,,,,,,,,,,2,U,1.85,L,9.35,>=7,,,,-7.35,7.35,-7.35,7.35,9.35
8/7/2026,Shane Baz,5.5,120,-140,,,,,,,,,,,,,,,,,,,,,9,O,0.39,,5.89,<6,,,,3.11,3.11,3.11,3.11,5.89
8/7/2026,Ryan Feltner,3.5,116,-135,,,,,,,,,,,,,,,,,,,,,2,U,0.31,,3.81,<6,,,,-1.81,1.81,-1.81,1.81,3.81
8/7/2026,Kyle Leahy,4.5,-113,-110,,,,,,,,,,,,,,,,,,,,,8,O,0.96,W,5.46,<6,,,,2.54,2.54,2.54,2.54,5.46
8/7/2026,Roki Sasaki,4.5,-146,128,,,,,,,,,,,,,,,,,,,,,5,O,0.02,,4.52,<6,,,,0.48,0.48,0.48,0.48,4.52
