date,gamePk,model_version,matchup,away_team,home_team,pick_team,status,winner,home_model_prob,home_pitcher_gap,home_pitcher,home_pitcher_score,away_pitcher,away_pitcher_score,home_era,away_era,home_woba,away_woba,home_bullpen_risk,away_bullpen_risk,home_strength_blend,away_strength_blend,home_woba_gap,home_bullpen_gap,home_pitcher_boost,home_pre_bullpen_odds,home_pre_bullpen_prob,home_bullpen_adj,home_money_line_odds,home_moneyline_prop
8/19/2026,823587,leo,San Diego Padres @ New York Mets,San Diego Padres,New York Mets,away team,watchlist,,0.2595,-30,Robert Stock,40,Michael King,70,3.37,3.7,0.3437,0.3407,54,49,0.5427,0.5188,0.003,-5,0.0498,0.0198,0.0194,-0.015,0.3504,0.2595
8/19/2026,822860,leo,Washington Nationals @ Texas Rangers,Washington Nationals,Texas Rangers,away team,watchlist,,0.2788,-13,Kumar Rocker,58,Cade Cavalli,71,4.39,3.51,0.2869,0.3135,75,66,0.5025,0.4579,-0.0266,-9,0.1423,0.0627,0.059,-0.027,0.3866,0.2788
8/19/2026,824640,leo,Chicago White Sox @ Chicago Cubs,Chicago White Sox,Chicago Cubs,home team,watchlist,,0.7205,12,Clay Holmes,75,Sean Newcomb,63,3.67,4.31,0.3348,0.3412,79,100,0.5756,0.5362,-0.0064,21,6.0496,14.949,0.9373,0.063,2.5778,0.7205
8/19/2026,824318,leo,Los Angeles Dodgers @ Colorado Rockies,Los Angeles Dodgers,Colorado Rockies,away team,pass,,0.2736,-14,Kyle Freeland,47,Roki Sasaki,61,4.19,4.52,0.3092,0.3094,65,70,0.622,0.445,-0.0002,5,0.1225,0.0488,0.0465,0.015,0.3767,0.2736
8/19/2026,824155,leo,Los Angeles Angels @ Houston Astros,Los Angeles Angels,Houston Astros,away team,pass,,0.2568,-22,Ethan Pecko,50,Walbert Ureña,72,3.59,3.79,0.2856,0.2661,66,43,0.4395,0.4465,0.0195,-23,0.0498,0.0148,0.0146,-0.069,0.3455,0.2568
8/19/2026,824076,leo,Athletics @ Kansas City Royals,Athletics,Kansas City Royals,home team,pass,,0.7111,13,Seth Lugo,57,Jeffrey Springs,44,4.15,5.87,0.2939,0.3104,50,64,0.4575,0.3949,-0.0165,14,7.0287,11.3609,0.9191,0.042,2.4614,0.7111
8/19/2026,824476,leo,St. Louis Cardinals @ Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,home team,pass,,0.7377,25,Chase Burns,80,Matthew Liberatore,55,3.99,3.39,0.2629,0.3184,73,86,0.4104,0.5724,-0.0555,13,20.0855,38.0625,0.9744,0.039,2.8124,0.7377
8/19/2026,823424,leo,Miami Marlins @ Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,away team,pass,,0.2798,-15,Aaron Nola,54,Sandy Alcantara,69,4.77,4.14,0.3392,0.3157,75,94,0.5131,0.546,0.0235,19,0.1054,0.0599,0.0565,0.057,0.3885,0.2798
8/19/2026,824801,leo,New York Yankees @ Baltimore Orioles,New York Yankees,Baltimore Orioles,away team,pass,,0.2676,-16,Chris Bassitt,43,Will Warren,59,4.29,3.1,0.3392,0.2888,69,55,0.5977,0.4827,0.0504,-14,0.0907,0.038,0.0366,-0.042,0.3654,0.2676
8/19/2026,823342,leo,Detroit Tigers @ Pittsburgh Pirates,Detroit Tigers,Pittsburgh Pirates,home team,pass,,0.7306,16,Paul Skenes,70,Jackson Jobe,54,3.25,3.69,0.3092,0.3179,76,56,0.5175,0.5264,-0.0087,-20,11.0232,26.3224,0.9634,-0.06,2.712,0.7306
